,Sport,League,Year,Prediction,Probability,Odd,Opponent_probability,Opponent_odd,Id_Match,Result
0,beisbol,usa/mlb/,2015,home,0.5711666666666666,0.0,0.4196666666666667,0.0,002IjfVI,0.0
1,beisbol,usa/mlb/,2015,home,0.6631666666666667,2.35,0.248,1.64,00EGb2z2,1.0
2,beisbol,usa/mlb/,2015,away,0.5328333333333333,2.3,0.4315,1.67,00MuCSpS,1.0
3,beisbol,usa/mlb/,2015,home,0.5798333333333333,1.7599999999999998,0.5318333333333334,2.1,00Wszr9L,1.0
4,beisbol,usa/mlb/,2015,home,0.6118333333333333,1.62,0.516,2.4,025Fz512,0.0
5,beisbol,usa/mlb/,2015,home,0.5333333333333333,2.1,0.3313333333333333,1.7599999999999998,02LHsXLi,1.0
6,beisbol,usa/mlb/,2015,home,0.7023333333333334,1.66,0.4698333333333333,2.3,02gXKdoR,1.0
7,beisbol,usa/mlb/,2015,home,0.6048333333333333,1.55,0.44033333333333335,2.6,02gzJWLG,0.0
8,beisbol,usa/mlb/,2015,home,0.4988333333333334,1.66,0.4621666666666666,2.2,04Ir6yzj,0.0
9,beisbol,usa/mlb/,2015,away,0.5061666666666667,1.86,0.44733333333333336,1.95,04UPoCAH,0.0
10,beisbol,usa/mlb/,2015,home,0.606,1.44,0.4596666666666666,2.85,04r7Sobc,0.0
11,beisbol,usa/mlb/,2015,home,0.5791666666666666,1.42,0.5228333333333334,2.9,04zr9biN,1.0
12,beisbol,usa/mlb/,2015,home,0.6785,1.43,0.3481666666666667,2.9,0690YDQm,1.0
13,beisbol,usa/mlb/,2015,home,0.5926666666666667,1.45,0.5265,2.8,069Yae91,1.0
14,beisbol,usa/mlb/,2015,away,0.5698333333333333,2.25,0.4291666666666665,1.64,06H6iIVI,1.0
15,beisbol,usa/mlb/,2015,home,0.6643333333333333,1.66,0.4616666666666666,2.3,06TKuI43,0.0
16,beisbol,usa/mlb/,2015,away,0.609,1.95,0.5263333333333333,1.7999999999999998,06cXgDTS,1.0
17,beisbol,usa/mlb/,2015,home,0.7596666666666667,1.7999999999999998,0.19266666666666668,2.05,08K3yT12,1.0
18,beisbol,usa/mlb/,2015,away,0.4698333333333333,1.7100000000000002,0.4073333333333333,2.2,08Ky3ApG,1.0
19,beisbol,usa/mlb/,2015,away,0.507,1.86,0.5046666666666667,1.95,08U4ROCk,0.0
20,beisbol,usa/mlb/,2015,home,0.7523333333333333,1.58,0.35700000000000004,2.4,08l0EvBC,1.0
21,beisbol,usa/mlb/,2015,away,0.5858333333333333,0.0,0.4965,0.0,0A9LmJNE,0.0
22,beisbol,usa/mlb/,2015,home,0.5676666666666667,1.64,0.5579999999999999,2.25,0ABHXB44,0.0
23,beisbol,usa/mlb/,2015,home,0.5073333333333333,0.0,0.4621666666666666,0.0,0Aa8JICj,0.0
24,beisbol,usa/mlb/,2015,home,0.6556666666666666,1.54,0.4525,2.55,0AifCwke,1.0
25,beisbol,usa/mlb/,2015,home,0.6691666666666667,1.69,0.4531666666666666,2.25,0C8yjNv8,0.0
26,beisbol,usa/mlb/,2015,home,0.4823333333333333,0.0,0.3865,0.0,0CMc4Xld,0.0
27,beisbol,usa/mlb/,2015,home,0.4833333333333333,1.5199999999999998,0.43133333333333335,2.67,0CdraJIU,1.0
28,beisbol,usa/mlb/,2015,home,0.5406666666666666,1.7100000000000002,0.4561666666666666,2.2,0ClU12Mb,1.0
29,beisbol,usa/mlb/,2015,home,0.5805,1.7400000000000002,0.4561666666666666,2.15,0Ec4v0SA,0.0
30,beisbol,usa/mlb/,2015,home,0.55,2.4,0.4198333333333333,1.62,0G8aZ3ip,0.0
31,beisbol,usa/mlb/,2015,away,0.514,1.8300000000000003,0.5125,2.0,0GEC0Yth,1.0
32,beisbol,usa/mlb/,2015,home,0.6118333333333333,1.86,0.516,1.95,0GK5kN88,1.0
33,beisbol,usa/mlb/,2015,home,0.669,1.64,0.5188333333333334,2.25,0ImGeb29,0.0
34,beisbol,usa/mlb/,2015,home,0.5638333333333333,2.4,0.4905,1.62,0MZLCfXN,0.0
35,beisbol,usa/mlb/,2015,home,0.5166666666666666,1.47,0.4891666666666667,2.75,0MkiBuK7,0.0
36,beisbol,usa/mlb/,2015,away,0.5233333333333333,1.64,0.4951666666666666,2.35,0Mq2hptm,0.0
37,beisbol,usa/mlb/,2015,away,0.5363333333333333,2.85,0.5096666666666667,1.44,0MqafA5c,0.0
38,beisbol,usa/mlb/,2015,away,0.5895,2.35,0.374,1.64,0O24dM29,0.0
39,beisbol,usa/mlb/,2015,away,0.5518333333333333,1.86,0.44733333333333336,1.95,0OEUQwW7,1.0
40,beisbol,usa/mlb/,2015,home,0.5001666666666666,0.0,0.4858333333333333,0.0,0OdB7Xzg,0.0
41,beisbol,usa/mlb/,2015,home,0.499,2.5,0.4818333333333333,1.58,0QF2WSqt,0.0
42,beisbol,usa/mlb/,2015,away,0.6151666666666666,1.95,0.5048333333333334,1.7999999999999998,0SMP06OM,0.0
43,beisbol,usa/mlb/,2015,away,0.4031666666666667,2.1,0.38883333333333336,1.7599999999999998,0SnkmQ0E,0.0
44,beisbol,usa/mlb/,2015,away,0.6806666666666666,2.05,0.4668333333333333,1.7999999999999998,0Sp6EbIH,1.0
45,beisbol,usa/mlb/,2015,home,0.5298333333333333,1.86,0.507,1.95,0SxhHsMo,1.0
46,beisbol,usa/mlb/,2015,away,0.6173333333333333,1.86,0.44616666666666666,1.95,0U5aPruc,0.0
47,beisbol,usa/mlb/,2015,away,0.5061666666666667,2.25,0.44733333333333336,1.64,0U7e9yMn,0.0
48,beisbol,usa/mlb/,2015,home,0.6214999999999999,1.7400000000000002,0.4031666666666667,2.15,0UDGKZBI,1.0
49,beisbol,usa/mlb/,2015,home,0.4726666666666667,1.66,0.31466666666666665,2.3,0UDrghT4,1.0
50,beisbol,usa/mlb/,2015,away,0.6146666666666667,1.8300000000000003,0.3548333333333333,2.0,0UgLXJDe,1.0
51,beisbol,usa/mlb/,2015,home,0.5555,1.64,0.4265,2.35,0Uqv0umr,0.0
52,beisbol,usa/mlb/,2015,home,0.7096666666666667,0.0,0.5256666666666666,0.0,0WK7CzQI,1.0
53,beisbol,usa/mlb/,2015,home,0.5903333333333334,1.86,0.5051666666666667,1.86,0WSlAcH2,0.0
54,beisbol,usa/mlb/,2015,home,0.4833333333333333,1.7599999999999998,0.43133333333333335,2.1,0WYyfEOK,0.0
55,beisbol,usa/mlb/,2015,home,0.639,2.05,0.36733333333333335,1.7999999999999998,0Y92HLkd,0.0
56,beisbol,usa/mlb/,2015,away,0.526,1.8300000000000003,0.35450000000000004,2.0,0YJHUObn,0.0
57,beisbol,usa/mlb/,2015,home,0.5168333333333334,0.0,0.4365,0.0,0YcYGAY1,0.0
58,beisbol,usa/mlb/,2015,home,0.5295,1.8300000000000003,0.4365,2.0,0bVwhGU6,1.0
59,beisbol,usa/mlb/,2015,away,0.5395,1.86,0.4805,1.86,0bZ7pJyI,0.0
60,beisbol,usa/mlb/,2015,home,0.55,1.62,0.44033333333333335,2.3,0bcGf3aP,0.0
61,beisbol,usa/mlb/,2015,home,0.5525,1.55,0.4696666666666667,2.6,0fqYzKah,1.0
62,beisbol,usa/mlb/,2015,home,0.6025,1.44,0.5073333333333333,2.8,0h4PMz18,1.0
63,beisbol,usa/mlb/,2015,away,0.5518333333333333,2.15,0.44733333333333336,1.68,0hAspNsE,1.0
64,beisbol,usa/mlb/,2015,away,0.539,2.4,0.4458333333333333,1.58,0hlCUsrR,0.0
65,beisbol,usa/mlb/,2015,home,0.6785,1.7100000000000002,0.3481666666666667,2.2,0j3YDnq4,0.0
66,beisbol,usa/mlb/,2015,home,0.5298333333333334,1.8300000000000003,0.5288333333333333,1.9,0jP80tjq,1.0
67,beisbol,usa/mlb/,2015,home,0.5966666666666667,1.86,0.5431666666666667,1.95,0jRXv28f,1.0
68,beisbol,usa/mlb/,2015,home,0.5655,1.68,0.26466666666666666,2.25,0jgMJLPg,0.0
69,beisbol,usa/mlb/,2015,away,0.539,2.15,0.3585,1.7400000000000002,0lzdqHat,0.0
70,beisbol,usa/mlb/,2015,home,0.5298333333333333,1.7599999999999998,0.507,2.1,0n5wTvLc,0.0
71,beisbol,usa/mlb/,2015,home,0.7263333333333334,1.6,0.4061666666666667,2.45,0n7ZCX1m,0.0
72,beisbol,usa/mlb/,2015,away,0.5395,2.45,0.4251666666666665,1.57,0n97LsS8,1.0
73,beisbol,usa/mlb/,2015,away,0.5363333333333333,2.0,0.5096666666666667,1.8300000000000003,0nDfOViJ,0.0
74,beisbol,usa/mlb/,2015,away,0.5096666666666667,2.3,0.3481666666666667,1.62,0nkLuLW6,1.0
75,beisbol,usa/mlb/,2015,home,0.7023333333333334,1.37,0.4698333333333333,3.2,0nklzl8S,1.0
76,beisbol,usa/mlb/,2015,home,0.5606666666666666,1.54,0.3895,2.65,0ppIg08e,0.0
77,beisbol,usa/mlb/,2015,away,0.591,2.3,0.3988333333333333,1.66,0pppSIPs,0.0
78,beisbol,usa/mlb/,2015,home,0.4488333333333333,1.7999999999999998,0.43133333333333335,2.05,0raxJkYT,0.0
79,beisbol,usa/mlb/,2015,away,0.6188333333333333,2.7,0.5323333333333333,1.5,0rgH7irb,0.0
80,beisbol,usa/mlb/,2015,home,0.5295,1.91,0.4228333333333333,1.91,0rgSatZq,0.0
81,beisbol,usa/mlb/,2015,away,0.6426666666666667,1.86,0.32633333333333336,1.95,0rgWVZMu,0.0
82,beisbol,usa/mlb/,2015,home,0.7023333333333334,1.6,0.4698333333333333,2.45,0rgkZYQB,0.0
83,beisbol,usa/mlb/,2015,home,0.5085,1.7999999999999998,0.4728333333333333,2.05,0tWalKl6,0.0
84,beisbol,usa/mlb/,2015,away,0.4661666666666667,0.0,0.456,0.0,0tzXvcW6,0.0
85,beisbol,usa/mlb/,2015,home,0.569,2.1,0.5358333333333334,1.7599999999999998,0v1XFQbo,0.0
86,beisbol,usa/mlb/,2015,away,0.5458333333333333,2.7,0.4125,1.5,0v3htJVf,1.0
87,beisbol,usa/mlb/,2015,home,0.5668333333333333,1.8300000000000003,0.4806666666666667,2.0,0voZMCzt,0.0
88,beisbol,usa/mlb/,2015,home,0.5628333333333333,2.4,0.4365,1.58,0xIcilrB,0.0
89,beisbol,usa/mlb/,2015,home,0.7048333333333333,1.68,0.21466666666666667,2.25,0xt3e4gk,1.0
90,beisbol,usa/mlb/,2015,away,0.626,0.0,0.3458333333333333,0.0,0zBo2iH3,1.0
91,beisbol,usa/mlb/,2015,away,0.5778333333333333,2.45,0.43583333333333335,1.6,0zT4LcCI,0.0
92,beisbol,usa/mlb/,2015,home,0.524,1.66,0.4288333333333333,2.3,0zVPPvZ0,0.0
93,beisbol,usa/mlb/,2015,home,0.6045,1.7999999999999998,0.4395,2.05,0zmfafrA,1.0
94,beisbol,usa/mlb/,2015,away,0.6566666666666666,1.7599999999999998,0.4335,2.0,218LGsID,1.0
95,beisbol,usa/mlb/,2015,home,0.7096666666666667,1.69,0.5256666666666666,2.25,21K0YFca,0.0
