,Sport,League,Year,Prediction,Probability,Odd,Opponent_probability,Opponent_odd,Id_Match,Result
0,beisbol,usa/mlb/,2014,home,0.5171666666666667,1.8700000000000003,0.44366666666666665,2.05,00QrYmbQ,1.0
1,beisbol,usa/mlb/,2014,home,0.486,1.81,0.434,2.12,00UrPzDk,1.0
2,beisbol,usa/mlb/,2014,home,0.6818333333333333,1.6,0.2475,2.5,00zLG2TL,1.0
3,beisbol,usa/mlb/,2014,away,0.5405,3.35,0.4605,1.38,02BAAP7f,0.0
4,beisbol,usa/mlb/,2014,home,0.4146666666666667,1.99,0.3905,1.91,02RCHiSq,0.0
5,beisbol,usa/mlb/,2014,away,0.5603333333333333,1.7599999999999998,0.5318333333333334,2.2,04W8nTw2,0.0
6,beisbol,usa/mlb/,2014,home,0.5493333333333333,1.8300000000000003,0.4205,2.1,04l2264k,0.0
7,beisbol,usa/mlb/,2014,away,0.62,2.2,0.3426666666666667,1.7599999999999998,04lwMrmB,0.0
8,beisbol,usa/mlb/,2014,home,0.7173333333333334,1.9,0.3371666666666667,2.0,06DCDTzm,1.0
9,beisbol,usa/mlb/,2014,home,0.5783333333333334,1.99,0.3616666666666667,1.91,06N9qCFF,0.0
10,beisbol,usa/mlb/,2014,home,0.5477592592592593,1.66,0.4844074074074074,2.35,088DJOeg,0.0
11,beisbol,usa/mlb/,2014,home,0.5978333333333333,1.7599999999999998,0.2585,2.2,08U4HYKo,0.0
12,beisbol,usa/mlb/,2014,home,0.6106666666666667,1.95,0.2418333333333333,1.95,08dYeBuQ,1.0
13,beisbol,usa/mlb/,2014,home,0.5916666666666667,2.0,0.4551666666666666,1.9,08fpdAQI,0.0
14,beisbol,usa/mlb/,2014,away,0.6141666666666666,0.0,0.3985,0.0,08lwWzX9,1.0
15,beisbol,usa/mlb/,2014,home,0.6051666666666666,1.7400000000000002,0.2751666666666667,2.26,08z2brDh,1.0
16,beisbol,usa/mlb/,2014,home,0.545,2.04,0.4518333333333333,1.8700000000000003,0APg5g2t,0.0
17,beisbol,usa/mlb/,2014,away,0.527,1.7799999999999998,0.4926666666666667,2.18,0Acc4XYi,1.0
18,beisbol,usa/mlb/,2014,away,0.6166666666666667,0.0,0.418,0.0,0C4vBZfp,1.0
19,beisbol,usa/mlb/,2014,home,0.626,1.7100000000000002,0.4561666666666666,2.29,0Cf0Uuma,0.0
20,beisbol,usa/mlb/,2014,home,0.6616666666666666,0.0,0.3670000000000001,0.0,0CxMtcsm,1.0
21,beisbol,usa/mlb/,2014,away,0.4641666666666666,1.95,0.35600000000000004,1.95,0E5HnmDJ,0.0
22,beisbol,usa/mlb/,2014,home,0.5615,1.5,0.4735,2.8,0EoTl7Ur,0.0
